sgRNA	Gene	Diff	Lower	Upper
ABL2_+_179198340.23-P2	ABL2	3085	3	939
ABL2_+_179198398.23-P2	ABL2	1235	1	1824
ABL2_+_179198565.23-P2	ABL2	1452	0	3116
ABL2_+_179198740.23-P2	ABL2	1309	3	3
ABL2_-_179112158.23-P1	ABL2	1542	2	1942
ABL2_-_179198834.23-P2	ABL2	1733	0	1465
ABO_+_136150190.23-P1	ABO	1401	2120	1657
ABO_+_136150601.23-P1	ABO	1384	8426	7499
ABO_-_136130692.23-P2	ABO	4728	7345	1656
ABO_-_136130921.23-P2	ABO	1470	1	1843
ABO_-_136130955.23-P2	ABO	1508	3	0
ABO_-_136150600.23-P1	ABO	787	3368	3086
ABO_-_136150606.23-P1	ABO	1464	0	996
ACACA_+_35715534.23-P1P2	ACACA	3243	4549	2
ACACB_+_109569170.23-P1	ACACB	5702	3	1523
ACACB_+_109592574.23-P2	ACACB	1274	1	2
ACACB_-_109569178.23-P1	ACACB	414	0	2
ACACB_-_109569231.23-P1	ACACB	1546	1	1
ACACB_-_109569639.23-P1	ACACB	2140	6103	0
ACACB_-_109592496.23-P2	ACACB	1531	1	713
ACACB_-_109592519.23-P2	ACACB	813	0	1
ACAD8_+_134123511.23-P1P2	ACAD8	3538	2	1869
ACAD8_-_134123448.23-P1P2	ACAD8	1027	0	1328
ACAD8_-_134123455.23-P1P2	ACAD8	1102	2	1
ACADSB_+_124768874.23-P1P2	ACADSB	1336	4707	1945
ACADSB_+_124768941.23-P1P2	ACADSB	1216	2564	1
ACADSB_-_124768552.23-P1P2	ACADSB	2092	10993	5
ACADS_+_121163685.23-P1P2	ACADS	5295	19960	7
ACADS_-_121163653.23-P1P2	ACADS	2518	3930	4674
ACADS_-_121163657.23-P1P2	ACADS	1267	3275	1856
ACADS_-_121163671.23-P1P2	ACADS	26	10986	5186
ACAN_+_89347139.23-P1P2	ACAN	533	1	0
ACAN_-_89347101.23-P1P2	ACAN	1369	4	3442
ACAT1_+_107992310.23-P1P2	ACAT1	1613	10	5589
ACAT1_+_107992321.23-P1P2	ACAT1	2439	3	3
ACAT1_-_107992364.23-P1P2	ACAT1	1197	0	3345
ACAT1_-_107992733.23-P1P2	ACAT1	3115	4741	4171
ACAT2_+_160183505.23-P1P2	ACAT2	2825	1	1
ACAT2_-_160183095.23-P1P2	ACAT2	1312	1	0
ACAT2_-_160183174.23-P1P2	ACAT2	887	0	855
ACCS_+_44087946.23-P1P2	ACCS	633	1	3802
ACCS_+_44088028.23-P1P2	ACCS	628	2	0
ACCS_+_44088091.23-P1P2	ACCS	4435	5468	3479
ACCS_-_44088090.23-P1P2	ACCS	1040	4356	3
ACE2_+_15619087.23-P1P2	ACE2	988	1	1
ACE2_-_15619013.23-P1P2	ACE2	3075	1	2
ACE_+_61554448.23-P1	ACE	3218	4	1618
ACE_+_61554829.23-P1	ACE	5302	2138	1358
ACE_+_61562272.23-P2	ACE	1442	0	1279
ACE_-_61554428.23-P1	ACE	1894	4	2204
ACE_-_61554458.23-P1	ACE	5464	3	5209
ACE_-_61554461.23-P1	ACE	2725	4189	4610
ACE_-_61562238.23-P2	ACE	6059	2	0
ACE_-_61562443.23-P2	ACE	4305	3	2
ACHE_+_100493456.23-P1	ACHE	2045	7028	10171
ACHE_+_100493473.23-P1	ACHE	983	0	0
ACHE_+_100494559.23-P2	ACHE	1625	2236	3
ACHE_+_100494570.23-P2	ACHE	3430	2584	87
ACHE_-_100493486.23-P1	ACHE	1556	2	551
ACHE_-_100494233.23-P2	ACHE	2902	1	2
ACHE_-_100494236.23-P2	ACHE	1014	2	2226
ACHE_-_100494578.23-P2	ACHE	2412	6	5059
ACOT13_+_24667341.23-P1P2	ACOT13	3661	5648	4
ACOT13_-_24667329.23-P1P2	ACOT13	1874	3927	1609
ACOT13_-_24667371.23-P1P2	ACOT13	1327	0	1
ACOT13_-_24667473.23-P1P2	ACOT13	2724	2626	2997
ACOX1_-_73975169.23-P1P2	ACOX1	2307	8231	1989
ACOX1_-_73975193.23-P1P2	ACOX1	3190	2	3
ACOX1_-_73975196.23-P1P2	ACOX1	1190	0	2
ACOX1_-_73975245.23-P1P2	ACOX1	3440	4127	4
ACP1_+_264980.23-P1P2	ACP1	3611	2	1185
ACP1_-_264967.23-P1P2	ACP1	842	3962	3098
ACP1_-_265107.23-P1P2	ACP1	3080	2336	2
ACP2_-_47269915.23-P1P2	ACP2	2887	1	1747
ACP2_-_47269958.23-P1P2	ACP2	1239	0	0
ACP5_+_11688472.23-P1	ACP5	1653	0	728
ACP5_-_11688086.23-P1	ACP5	1261	2	1203
ACP5_-_11688414.23-P1	ACP5	2949	4827	2822
ACP5_-_11688437.23-P1	ACP5	753	2921	3019
ACP5_-_11688455.23-P1	ACP5	954	4582	1
ACP5_-_11689724.23-P2	ACP5	2081	3	3500
ACP5_-_11689727.23-P2	ACP5	2667	6	2895
ACP5_-_11689771.23-P2	ACP5	2510	1	1378
ACP6_+_147141956.23-P1P2	ACP6	3764	5183	1074
ACP6_-_147142348.23-P1P2	ACP6	1721	1350	0
ACP6_-_147142356.23-P1P2	ACP6	2505	4936	1876
ACP6_-_147142393.23-P1P2	ACP6	2071	4764	1966
ACPP_+_132036293.23-P1P2	ACPP	1213	2	1
ACPP_+_132036504.23-P1P2	ACPP	1516	0	1207
ACPP_+_132036703.23-P1P2	ACPP	1497	1	1
ACPT_+_51293697.23-ENST00000270593.1	ACPT	2813	5991	1761
ACSL1_+_185746700.23-P1P2	ACSL1	1527	1	0
ACSL1_+_185747071.23-P1P2	ACSL1	1475	3	0
ACSL1_+_185747074.23-P1P2	ACSL1	2165	1	3
ACSL1_-_185746686.23-P1P2	ACSL1	850	6	4479
ACSL3_+_223726215.23-P1P2	ACSL3	1273	1	1
ACSL3_-_223725802.23-P1P2	ACSL3	788	0	1
ACSL3_-_223725834.23-P1P2	ACSL3	1536	2	3
ACSL3_-_223726162.23-P1P2	ACSL3	5285	2130	2253
ACSL4_+_108976382.23-P1P2	ACSL4	1097	2657	3
ACSL4_-_108976456.23-P1P2	ACSL4	1182	0	2396
ACSL4_-_108976463.23-P1P2	ACSL4	6710	3486	887
ACSS2_+_33464457.23-P1P2	ACSS2	1372	2	3211
ACSS2_-_33464420.23-P1P2	ACSS2	6664	3	1144
ACTA1_+_229568301.23-P2	ACTA1	4565	5	3522
ACTA1_-_229568723.23-P2	ACTA1	1493	2495	0
ACTA1_-_229568745.23-P2	ACTA1	919	2282	4198
ACTA1_-_229568779.23-P2	ACTA1	2601	1	1
ACTA1_-_229569627.23-P1	ACTA1	992	0	0
ACTA1_-_229569839.23-P1	ACTA1	5903	2	1
ACTR2_+_65455294.23-P1P2	ACTR2	3909	0	0
ACVR1B_+_52345907.23-P1P2	ACVR1B	2327	3	2
ACVR1B_-_52345917.23-P1P2	ACVR1B	2414	5526	4
ACVR1C_+_158484901.23-P1P2	ACVR1C	1188	3	2896
ACVR1C_+_158484938.23-P1P2	ACVR1C	4470	3	4
ACVR1_+_158732198.23-P1P2	ACVR1	4153	2	1
ACVR1_-_158732511.23-P1P2	ACVR1	569	2	2720
ACVR2A_+_148602346.23-P1P2	ACVR2A	1470	1	2
ACVR2A_-_148602102.23-P1P2	ACVR2A	1621	1	4837
ACVR2A_-_148602669.23-P1P2	ACVR2A	1240	2	0
ACVR2B_+_38495450.23-P1P2	ACVR2B	4501	2	1798
ACVR2B_+_38495606.23-P1P2	ACVR2B	3216	4789	1643
ACVR2B_+_38495842.23-P1P2	ACVR2B	1035	4888	3556
ACVRL1_+_52300819.23-P1P2	ACVRL1	1528	0	3
ACY1_+_52017535.23-P1P2	ACY1	886	0	1680
ACY1_+_52017980.23-P1P2	ACY1	4070	3821	2320
ACY1_-_52017547.23-P1P2	ACY1	2754	8769	6
ACY3_+_67414985.23-P2	ACY3	2982	0	0
ACY3_+_67415013.23-P2	ACY3	1061	0	1
ACY3_+_67417960.23-P1	ACY3	2802	4499	1270
ACY3_+_67418110.23-P1	ACY3	1571	3753	6350
ACY3_-_67414577.23-P2	ACY3	1513	2123	3010
ACY3_-_67418149.23-P1	ACY3	1334	2	1429
ACYP2_+_54342830.23-P1P2	ACYP2	469	4	1
ACYP2_-_54343157.23-P1P2	ACYP2	3446	3	2981
ACYP2_-_54343180.23-P1P2	ACYP2	2378	2	1961
ADAM33_+_3662271.23-P1P2	ADAM33	2240	2	1
ADAM33_+_3662642.23-P1P2	ADAM33	5074	4	2
ADAM33_-_3662191.23-P1P2	ADAM33	1573	1	1
ADAM33_-_3662638.23-P1P2	ADAM33	6183	2	4
ADAMTS5_+_28339356.23-P1P2	ADAMTS5	812	4939	1569
ADAMTS5_+_28339363.23-P1P2	ADAMTS5	2337	3	2
ADAMTS5_-_28338950.23-P1P2	ADAMTS5	728	4903	0
ADAMTS5_-_28339372.23-P1P2	ADAMTS5	3302	6	3199
ADCK1_+_78266506.23-P1P2	ADCK1	2743	5726	4
ADCK1_-_78266512.23-P1P2	ADCK1	634	1	1832
ADCK1_-_78266523.23-P1P2	ADCK1	1594	1	3
ADCK1_-_78266828.23-P1P2	ADCK1	2597	2895	2
ADCK1_-_78266900.23-P1P2	ADCK1	2165	5461	2
ADCK2_+_140372748.23-P1P2	ADCK2	887	0	1
ADCK2_+_140373084.23-P1P2	ADCK2	1327	2	2668
ADCK2_+_140373152.23-P1P2	ADCK2	4227	5036	2013
ADCK2_-_140373160.23-P1P2	ADCK2	2920	1	1
ADCK3_+_227128400.23-P1P2	ADCK3	2240	3341	3240
ADCK3_-_227128046.23-P1P2	ADCK3	2879	2802	1457
ADCK3_-_227128055.23-P1P2	ADCK3	2853	4	4468
ADCK4_+_41222752.23-P1P2	ADCK4	1534	1	0
ADCK4_-_41222351.23-P1P2	ADCK4	1741	1	0
ADCK4_-_41222791.23-P1P2	ADCK4	2479	2	5175
ADCK5_-_145597191.23-P1P2	ADCK5	626	0	0
ADCK5_-_145597250.23-P1P2	ADCK5	764	0	0
ADCK5_-_145597781.23-P1P2	ADCK5	2490	1212	1637
ADC_+_33546832.23-P1P2	ADC	3525	3	2
ADC_+_33546850.23-P1P2	ADC	1657	5067	1
ADC_-_33546826.23-P1P2	ADC	2095	3025	4
ADH1C_+_100273655.23-P1P2	ADH1C	1835	2250	420
ADH1C_-_100273879.23-P1P2	ADH1C	2942	1	2823
ADH1C_-_100273923.23-P1P2	ADH1C	4484	3	2030
ADH4_+_100065433.23-P1P2	ADH4	1391	1	1
ADH4_+_100065444.23-P1P2	ADH4	1090	5107	5
ADH5_+_100009821.23-P1P2	ADH5	1333	1	1724
ADH5_+_100009838.23-P1P2	ADH5	1592	0	0
ADK_+_75936517.23-P1	ADK	2540	6	2138
ADK_+_75936538.23-P1	ADK	4152	0	2
ADK_+_75936570.23-P1	ADK	2020	4319	1475
ADK_-_75911437.23-P2	ADK	684	1	2
ADORA1_+_203096891.23-P1P2	ADORA1	4282	1	7
ADORA1_+_203097450.23-P1P2	ADORA1	3959	4	2163
ADORA1_+_203097472.23-P1P2	ADORA1	2753	4470	2420
ADORA2A_+_24820308.23-P1P2	ADORA2A	2377	5	3654
ADORA2A_-_24819888.23-P1P2	ADORA2A	1929	1987	2
ADORA2A_-_24819947.23-P1P2	ADORA2A	1620	4578	1588
ADORA2B_+_15848686.23-P1P2	ADORA2B	1645	3	2947
ADORA2B_-_15848659.23-P1P2	ADORA2B	5024	2106	1
ADORA2B_-_15848949.23-P1P2	ADORA2B	1587	2	1687
ADORA3_+_112031386.23-P1	ADORA3	29	4	1815
ADORA3_+_112031411.23-P1	ADORA3	856	0	0
ADORA3_+_112031418.23-P1	ADORA3	1314	2	840
ADORA3_+_112046055.23-P2	ADORA3	1580	3	1803
ADORA3_+_112046115.23-P2	ADORA3	603	0	0
ADRA1A_+_26724406.23-P1P2	ADRA1A	5061	2890	4005
ADRA1A_-_26724311.23-P1P2	ADRA1A	1362	1	3492
ADRA1A_-_26724340.23-P1P2	ADRA1A	367	0	1
ADRA1A_-_26724356.23-P1P2	ADRA1A	5297	2	0
ADRA1B_+_159343520.23-P1P2	ADRA1B	4234	4	1926
ADRA1B_+_159344209.23-P1P2	ADRA1B	2587	0	2140
ADRA1B_-_159343504.23-P1P2	ADRA1B	5813	5528	1563
ADRA1B_-_159343900.23-P1P2	ADRA1B	1133	2598	1
ADRA1D_+_4229485.23-P1P2	ADRA1D	1325	6	3869
ADRA1D_-_4229250.23-P1P2	ADRA1D	2768	2	2
ADRA1D_-_4229495.23-P1P2	ADRA1D	2279	887	1541
ADRA1D_-_4229926.23-P1P2	ADRA1D	395	3072	1244
ADRA2A_-_112837142.23-P1P2	ADRA2A	2838	0	2
ADRA2A_-_112837201.23-P1P2	ADRA2A	1930	5	3268
ADRA2A_-_112837238.23-P1P2	ADRA2A	799	0	0
ADRA2A_-_112837251.23-P1P2	ADRA2A	3219	0	0
ADRA2B_+_96781839.23-P1P2	ADRA2B	2434	7	3193
ADRA2B_-_96782246.23-P1P2	ADRA2B	1175	0	0
ADRA2C_+_3768074.23-P1P2	ADRA2C	929	2	2485
ADRA2C_+_3768082.23-P1P2	ADRA2C	3810	6	3654
ADRA2C_+_3768098.23-P1P2	ADRA2C	515	0	2
ADRA2C_-_3767888.23-P1P2	ADRA2C	1902	1	2
ADRB1_-_115803895.23-P1P2	ADRB1	3247	1672	638
ADRB1_-_115804061.23-P1P2	ADRB1	3052	5026	6959
ADRB1_-_115804069.23-P1P2	ADRB1	824	3	2127
ADRB1_-_115804075.23-P1P2	ADRB1	1474	3079	1518
ADRB2_+_148206220.23-P1P2	ADRB2	5724	2091	1899
ADRB2_+_148206227.23-P1P2	ADRB2	2988	4929	2
ADRB2_-_148206186.23-P1P2	ADRB2	2842	1	3132
ADRB2_-_148206207.23-P1P2	ADRB2	2270	1	1894
ADRB2_-_148206413.23-P1P2	ADRB2	1091	3	1
ADRB3_+_37822768.23-P1P2	ADRB3	1184	3069	1493
ADRB3_-_37822919.23-P1P2	ADRB3	1411	1	1222
ADRB3_-_37823380.23-P1P2	ADRB3	524	0	3710
ADRB3_-_37823667.23-P1P2	ADRB3	1374	5864	3408
ADRB3_-_37823742.23-P1P2	ADRB3	1526	0	2080
ADRBK1_+_67033933.23-P1P2	ADRBK1	1368	4502	2756
ADRBK1_+_67034566.23-P1P2	ADRBK1	5219	2	2
ADRBK1_-_67034001.23-P1P2	ADRBK1	1965	2	1319
ADRBK2_+_25960616.23-P1P2	ADRBK2	5097	5465	7756
ADRBK2_-_25960625.23-P1P2	ADRBK2	4125	2776	1876
ADRBK2_-_25960707.23-P1P2	ADRBK2	4335	6	3139
ADRBK2_-_25960854.23-P1P2	ADRBK2	2207	1	57
ADSSL1_+_105190776.23-P1P2	ADSSL1	3415	8	3195
ADSSL1_+_105190789.23-P1P2	ADSSL1	4707	3	1492
ADSSL1_+_105190984.23-P1P2	ADSSL1	1455	1	1
ADSSL1_-_105190591.23-P1P2	ADSSL1	2586	1563	1695
ADSSL1_-_105190615.23-P1P2	ADSSL1	2686	4807	1867
AGTR1_+_148416039.23-P1P2	AGTR1	1588	2	2
AGTR1_+_148416061.23-P1P2	AGTR1	1533	3	1999
AGTR1_-_148415748.23-P1P2	AGTR1	1067	1	2
AGTR2_+_115301983.23-P1P2	AGTR2	1736	0	1
AGTR2_-_115302383.23-P1P2	AGTR2	1425	1	0
AGXT2_-_35047934.23-P1P2	AGXT2	2661	1	1557
AGXT_+_241808286.23-P1P2	AGXT	2735	1	0
AGXT_+_241808483.23-P1P2	AGXT	106	0	0
AGXT_-_241808273.23-P1P2	AGXT	857	0	0
AHCY_-_32890731.23-P1P2	AHCY	1140	1477	1970
AHCY_-_32890950.23-P1P2	AHCY	1483	2	3
AHCY_-_32891095.23-P1P2	AHCY	3449	4884	3434
AHCY_-_32891145.23-P1P2	AHCY	1750	0	1558
AK1_+_130639930.23-P1P2	AK1	2460	2	1302
AK1_+_130639945.23-P1P2	AK1	2096	1350	1136
AK1_-_130639710.23-P1P2	AK1	2518	0	1183
AK1_-_130639906.23-P1P2	AK1	2471	2618	1434
AK2_+_33502042.23-P1P2	AK2	1364	2	954
AK2_+_33502194.23-P1P2	AK2	1115	2	2269
AK2_+_33502475.23-P1P2	AK2	1068	2190	1
AK3_+_4740766.23-P1P2	AK3	3037	5	4
AK3_+_4740798.23-P1P2	AK3	4991	4	1
AK3_-_4740765.23-P1P2	AK3	2537	4476	1427
AK3_-_4741156.23-P1P2	AK3	1201	3831	5
AK3_-_4741205.23-P1P2	AK3	3112	0	2
AK4_+_65613321.23-P1P2	AK4	3920	2	3
AK4_+_65614269.23-P1P2	AK4	6286	10015	3350
AK4_-_65613240.23-P1P2	AK4	742	0	0
AK4_-_65613440.23-P1P2	AK4	1656	4776	1486
AK4_-_65613504.23-P1P2	AK4	1224	0	0
AK5_-_77747738.23-P1P2	AK5	2358	7389	1850
AK5_-_77747887.23-P1P2	AK5	483	0	0
AK5_-_77748084.23-P1P2	AK5	456	3	2119
AK5_-_77748096.23-P1P2	AK5	1142	2	1620
AK5_-_77748351.23-P1P2	AK5	77	4595	4
AK7_+_96858465.23-P1P2	AK7	2416	8946	1238
AK7_+_96858485.23-P1P2	AK7	896	3	2153
AK8_-_135753610.23-P1P2	AK8	953	0	0
AK8_-_135753634.23-P1P2	AK8	3460	2	2566
AK8_-_135754341.23-P1P2	AK8	1324	2	3630
AKAP10_+_19881070.23-P1P2	AKAP10	943	991	3
AKAP10_+_19881078.23-P1P2	AKAP10	1726	1	1333
AKAP10_+_19881106.23-P1P2	AKAP10	2641	2746	1
AKAP10_+_19881129.23-P1P2	AKAP10	5281	4189	1482
AKAP11_+_42846358.23-P1P2	AKAP11	2144	1	2
AKAP11_+_42846376.23-P1P2	AKAP11	800	3320	6712
AKAP11_+_42846688.23-P1P2	AKAP11	793	0	1
AKAP12_+_151561539.23-P1	AKAP12	1262	625	799
AKAP12_+_151646850.23-P2	AKAP12	280	5498	2010
AKAP12_+_151647266.23-P2	AKAP12	2619	1	1
AKAP12_-_151561572.23-P1	AKAP12	2478	3444	3509
AKAP12_-_151561599.23-P1	AKAP12	2592	1679	1
AKAP12_-_151562006.23-P1	AKAP12	1213	0	1
AKAP12_-_151646835.23-P2	AKAP12	3428	7729	3143
AKAP13_+_85923789.23-P1P2	AKAP13	2353	3	3649
AKAP13_+_85923863.23-P1P2	AKAP13	5055	1658	3133
AKAP13_+_85923876.23-P1P2	AKAP13	712	0	1300
AKAP13_+_85924198.23-P1P2	AKAP13	1082	5	3352
AKAP13_+_85924290.23-P1P2	AKAP13	1394	1	1
AKAP14_+_119030176.23-P1P2	AKAP14	2849	5468	1891
AKAP14_+_119030185.23-P1P2	AKAP14	984	3	1649
AKAP14_+_119030227.23-P1P2	AKAP14	3488	1	3640
AKAP14_+_119030337.23-P1P2	AKAP14	1494	1	2
AKAP1_+_55162988.23-P1P2	AKAP1	1212	7097	4
AKAP1_+_55162999.23-P1P2	AKAP1	2120	7	2178
AKAP1_+_55163111.23-P1P2	AKAP1	1863	1737	5886
AKAP3_+_4757792.23-P1	AKAP3	92	0	0
AKAP3_+_4757813.23-P1	AKAP3	1356	4654	1453
AKAP3_-_4754189.23-P2	AKAP3	2700	1	1796
AKAP3_-_4754248.23-P2	AKAP3	1251	5	2949
AKAP4_+_49965047.23-P1P2	AKAP4	493	2	1
AKAP4_+_49965636.23-P1P2	AKAP4	1641	7103	1102
AKAP5_+_64932286.23-P1P2	AKAP5	1055	0	2056
AKAP5_-_64932236.23-P1P2	AKAP5	952	0	2855
AKAP5_-_64932248.23-P1P2	AKAP5	1288	1	1651
AKAP6_-_32798545.23-P1P2	AKAP6	1564	2	1992
AKAP7_+_131456600.23-P1P2	AKAP7	1020	2	2641
AKAP7_+_131456616.23-P1P2	AKAP7	5670	8607	443
AKAP7_-_131456586.23-P1P2	AKAP7	2272	3773	515
AKAP7_-_131456595.23-P1P2	AKAP7	2729	5479	3406
AKAP7_-_131456599.23-P1P2	AKAP7	4856	3839	1750
AKAP8L_+_15529720.23-P1P2	AKAP8L	555	2139	2
AKAP8L_+_15529754.23-P1P2	AKAP8L	2200	9	3386
AKAP8L_-_15529435.23-P1P2	AKAP8L	1715	1	0
AKAP8_+_15490522.23-P1P2	AKAP8	1554	5094	1633
AKAP8_+_15490538.23-P1P2	AKAP8	2362	5	1781
AKAP8_+_15490555.23-P1P2	AKAP8	1820	1	0
AKAP8_+_15490566.23-P1P2	AKAP8	1455	2269	1889
AKAP9_+_91570225.23-P1P2	AKAP9	2481	5	2087
AKAP9_+_91570245.23-P1P2	AKAP9	4754	1	1
AKAP9_+_91570248.23-P1P2	AKAP9	4125	1	2039
AKAP9_-_91570233.23-P1P2	AKAP9	3767	2273	1
AKR1A1_+_46017142.23-P1P2	AKR1A1	1169	2892	4
AKR1A1_-_46016934.23-P1P2	AKR1A1	3406	1	1091
AKR1B10_+_134212298.23-P1P2	AKR1B10	2556	0	1782
AKR1B10_+_134212752.23-P1P2	AKR1B10	1140	0	2899
AKR1B10_-_134212336.23-P1P2	AKR1B10	1927	5267	1
AKR1B1_+_134143398.23-P1P2	AKR1B1	2527	2	1288
AKR1B1_+_134143462.23-P1P2	AKR1B1	3831	0	1
AKR1B1_+_134143839.23-P1P2	AKR1B1	2134	5573	793
AKR1B1_-_134143472.23-P1P2	AKR1B1	1719	2876	1915
AKR1B1_-_134143848.23-P1P2	AKR1B1	5108	1553	1511
AKT1_+_105261975.23-P1P2	AKT1	1141	0	3022
AKT1_+_105262020.23-P1P2	AKT1	2622	4	3420
AKT2_+_40791162.23-P1P2	AKT2	2414	1	1
AKT2_+_40791298.23-P1P2	AKT2	1081	0	1
AKT2_-_40791188.23-P1P2	AKT2	2634	2563	2564
AKT3_+_244013158.23-P1P2	AKT3	3776	2	295
AKT3_-_244013164.23-P1P2	AKT3	1405	1	1
AKT3_-_244013352.23-P1P2	AKT3	2796	13883	3448
AKT3_-_244013548.23-P1P2	AKT3	4272	5	3593
ALAS1_+_52232183.23-P1P2	ALAS1	1261	1	1
ALAS1_+_52232583.23-P1P2	ALAS1	1503	2527	2
ALAS1_+_52232611.23-P1P2	ALAS1	2708	3639	3146
ALAS2_-_55056927.23-P1P2	ALAS2	2606	1	1590
ALAS2_-_55057349.23-P1P2	ALAS2	1761	27	876
ALAS2_-_55057412.23-P1P2	ALAS2	3295	2945	3250
ALDH18A1_+_97416086.23-P1P2	ALDH18A1	1094	8367	1924
ALDH18A1_+_97416090.23-P1P2	ALDH18A1	213	112	83
ALDH18A1_+_97416448.23-P1P2	ALDH18A1	2775	5604	2
ALDH1A2_+_58357459.23-P1P2	ALDH1A2	1287	3	1951
ALDH1A2_+_58357493.23-P1P2	ALDH1A2	2261	3838	1723
ALDH1A2_-_58357473.23-P1P2	ALDH1A2	721	1	0
ALDH1A2_-_58357549.23-P1P2	ALDH1A2	4768	6498	1048
ALDH1A2_-_58357877.23-P1P2	ALDH1A2	1904	2	3644
ALDH1B1_+_38392764.23-P1P2	ALDH1B1	1303	0	0
ALDH1B1_+_38393145.23-P1P2	ALDH1B1	1172	6	1273
ALDH1B1_-_38393107.23-P1P2	ALDH1B1	183	5071	1779
ALDH1L1_+_125899006.23-P1P2	ALDH1L1	4456	4685	1416
ALDH1L1_-_125899035.23-P1P2	ALDH1L1	4523	3784	1551
ALDH1L1_-_125899333.23-P1P2	ALDH1L1	6791	5594	2816
ALDH1L1_-_125899391.23-P1P2	ALDH1L1	1086	1204	1580
ALDH3A1_+_19651570.23-P1P2	ALDH3A1	1628	730	2
ALDH3A1_+_19651582.23-P1P2	ALDH3A1	856	2225	1
ALDH3A1_+_19651663.23-P1P2	ALDH3A1	1673	1	3
ALDH3A1_-_19651612.23-P1P2	ALDH3A1	2497	3	3
ALDH3A2_+_19552078.23-P1P2	ALDH3A2	1789	2	2264
ALDH3A2_-_19552105.23-P1P2	ALDH3A2	657	1	1
ALDH3A2_-_19552301.23-P1P2	ALDH3A2	1288	3	0
ALDH3A2_-_19552304.23-P1P2	ALDH3A2	1621	2977	2
ALDH3B1_+_67777856.23-P1P2	ALDH3B1	2878	7	1962
ALDH3B1_+_67778195.23-P1P2	ALDH3B1	4587	6892	1417
ALDH4A1_-_19228763.23-P1P2	ALDH4A1	1291	2692	0
ALDH4A1_-_19228783.23-P1P2	ALDH4A1	1268	3	2278
ALDH4A1_-_19228972.23-P1P2	ALDH4A1	2284	3	2941
ALDH4A1_-_19229034.23-P1P2	ALDH4A1	1573	3	0
ALDH5A1_+_24495207.23-P1P2	ALDH5A1	1274	4814	1288
ALDH5A1_+_24495265.23-P1P2	ALDH5A1	2418	1	7
ALDH5A1_+_24495477.23-P1P2	ALDH5A1	451	0	1899
ALDH5A1_+_24495537.23-P1P2	ALDH5A1	3021	2199	2
ALDH5A1_+_24495662.23-P1P2	ALDH5A1	1347	5475	3305
ALDH9A1_-_165667740.23-P1P2	ALDH9A1	592	0	1067
ALDH9A1_-_165667761.23-P1P2	ALDH9A1	1106	0	1012
