sgRNA	Gene	Diff	Lower	Upper
CTDSP2_+_58240445.23-P1P2	CTDSP2	3131	4915	3315
CTDSP2_+_58240467.23-P1P2	CTDSP2	1284	0	3
CTDSP2_-_58240085.23-P1P2	CTDSP2	1259	3	1546
CTDSPL_+_37903820.23-P1P2	CTDSPL	758	1886	3091
CTDSPL_-_37903405.23-P1P2	CTDSPL	4296	5305	6116
CTDSPL_-_37903769.23-P1P2	CTDSPL	3321	8800	3034
CTDSPL_-_37903774.23-P1P2	CTDSPL	2321	3	4852
CTH_+_70876951.23-P1P2	CTH	1305	0	1
CTH_+_70876980.23-P1P2	CTH	2825	1	2
CTH_-_70877335.23-P1P2	CTH	2994	0	2
CTLA4_-_204732544.23-P1P2	CTLA4	1711	1	1415
CTLA4_-_204732957.23-P1P2	CTLA4	1580	2399	1055
CTNS_-_3540051.23-P1P2	CTNS	1235	4	1895
CTNS_-_3540066.23-P1P2	CTNS	1444	3822	1262
CTNS_-_3540097.23-P1P2	CTNS	2659	4964	4
CTNS_-_3540100.23-P1P2	CTNS	718	0	0
CTNS_-_3540452.23-P1P2	CTNS	588	2411	0
CTRB1_+_75252936.23-P1P2	CTRB1	546	5	1475
CTRB1_+_75253108.23-P1P2	CTRB1	2877	0	2
CTSF_+_66335996.23-P1P2	CTSF	2541	0	0
CTSF_+_66335999.23-P1P2	CTSF	2607	3089	3356
CTSF_+_66336004.23-P1P2	CTSF	4232	2	4604
CTSF_-_66336011.23-P1P2	CTSF	677	8202	3792
CTSG_+_25045383.23-P1P2	CTSG	3025	0	2
CTSG_+_25045445.23-P1P2	CTSG	1306	5178	5
CTSG_-_25045032.23-P1P2	CTSG	485	0	0
CTSG_-_25045355.23-P1P2	CTSG	1300	7027	1359
CTSG_-_25045396.23-P1P2	CTSG	2623	6163	1898
CTSH_+_79237358.23-P1P2	CTSH	778	4927	954
CTSH_-_79237212.23-P1P2	CTSH	1225	2250	1
CTSK_-_150780713.23-P1P2	CTSK	1439	5121	2
CTSK_-_150780724.23-P1P2	CTSK	2688	4757	1693
CTSL_+_90341065.23-P1	CTSL	2497	2652	3
CTSL_+_90341431.23-P1	CTSL	2380	1	1641
CTSL_+_90342816.23-P2	CTSL	584	2	1
CTSL_+_90342836.23-P2	CTSL	2905	3964	3
CTSL_-_90341061.23-P1	CTSL	4017	5511	882
CTSL_-_90341070.23-P1	CTSL	5208	5197	5604
CTSL_-_90341450.23-P1	CTSL	3048	1022	3
CTSL_-_90342596.23-P2	CTSL	1316	1	1464
CTSS_+_150738182.23-P1P2	CTSS	4957	4	2031
CTSS_-_150737888.23-P1P2	CTSS	1237	2697	1380
CTSV_+_99801205.23-P1P2	CTSV	3338	2	2
CTSV_-_99800937.23-P1P2	CTSV	2834	2	2
CTSV_-_99801856.23-P1P2	CTSV	6376	3167	1887
CUBN_+_17171795.23-P1P2	CUBN	1710	1	0
CUTA_+_33385660.23-P1P2	CUTA	2401	2	0
CUTA_-_33385272.23-P1P2	CUTA	1198	1	0
CXCL10_-_76944225.23-P1P2	CXCL10	3808	0	4
CXCL10_-_76944230.23-P1P2	CXCL10	2956	5	4
CXCL10_-_76944597.23-P1P2	CXCL10	3155	3	2
CXCL10_-_76944615.23-P1P2	CXCL10	4842	5468	2152
CXCL10_-_76944661.23-P1P2	CXCL10	1753	1	0
CXCR1_+_219031625.23-P1P2	CXCR1	8636	3	2
CXCR1_-_219031618.23-P1P2	CXCR1	1744	2	0
CXCR1_-_219031662.23-P1P2	CXCR1	1610	1	1770
CYB5A_+_71959187.23-P1P2	CYB5A	1640	1	1
CYB5A_-_71958867.23-P1P2	CYB5A	4345	2	0
CYB5A_-_71959222.23-P1P2	CYB5A	3262	6211	1335
CYB5B_-_69458581.23-P1P2	CYB5B	2204	2	2847
CYB5B_-_69458593.23-P1P2	CYB5B	1627	0	1
CYB5B_-_69458601.23-P1P2	CYB5B	1123	3	0
CYB5R1_+_202936351.23-P1P2	CYB5R1	3334	1908	1566
CYB5R1_+_202936354.23-P1P2	CYB5R1	1279	1	1856
CYB5R1_-_202936337.23-P1P2	CYB5R1	5601	2	3
CYC1_-_145150131.23-P1P2	CYC1	1478	0	1
CYC1_-_145150183.23-P1P2	CYC1	967	2631	2
CYGB_+_74533350.23-P1P2	CYGB	2126	4	2723
CYGB_+_74533557.23-P1P2	CYGB	1705	0	3
CYGB_-_74533364.23-P1P2	CYGB	4516	5718	589
CYGB_-_74533754.23-P1P2	CYGB	2155	1	1956
CYP2C8_-_96828981.23-P1P2	CYP2C8	1517	0	1
CYP2C9_-_96698454.23-P1P2	CYP2C9	1399	2	2
CYP2D6_+_42526794.23-P1P2	CYP2D6	4018	3228	2093
CYP2D6_-_42526814.23-P1P2	CYP2D6	3849	5802	3
CYP3A5_+_99277556.23-P1P2	CYP3A5	3183	1429	20
CYP3A5_-_99277257.23-P1P2	CYP3A5	602	0	0
CYP4A11_+_47407055.23-P1P2	CYP4A11	195	1	1040
CYP4A11_+_47407154.23-P1P2	CYP4A11	1166	0	0
CYSLTR2_+_49281226.23-ENST00000282018.3	CYSLTR2	2480	5835	550
CYSLTR2_+_49281378.23-ENST00000282018.3	CYSLTR2	1230	2	2948
CYSLTR2_-_49281431.23-ENST00000282018.3	CYSLTR2	704	0	0
CYTH2_+_48972662.23-P1P2	CYTH2	3946	12	2083
CYTH2_-_48972707.23-P1P2	CYTH2	1503	0	333
CYTH2_-_48973064.23-P1P2	CYTH2	483	2	1319
CYTH3_+_6311871.23-P1P2	CYTH3	6426	4666	1528
CYTH3_-_6312231.23-P1P2	CYTH3	1256	5142	1798
DAO_+_109273872.23-P1P2	DAO	1821	1	3717
DAO_+_109273929.23-P1P2	DAO	1136	4	1818
DAO_-_109274296.23-P1P2	DAO	2459	0	0
DAPK1_+_90112820.23-P1P2	DAPK1	1664	0	0
DAPK1_-_90112796.23-P1P2	DAPK1	1397	2	1869
DAPK1_-_90112825.23-P1P2	DAPK1	771	6186	2379
DAPK1_-_90112867.23-P1P2	DAPK1	4741	6729	2
DAPK2_+_64338238.23-P1P2	DAPK2	1342	2	1912
DAPK2_+_64338395.23-P1P2	DAPK2	2849	2727	2
DAPK2_-_64338287.23-P1P2	DAPK2	5020	4	2117
DAPK2_-_64338497.23-P1P2	DAPK2	3039	3488	2
DAPK2_-_64338687.23-P1P2	DAPK2	2056	3	2129
DAPK3_+_3970693.23-P1P2	DAPK3	1164	1	0
DAPK3_+_3971028.23-P1P2	DAPK3	1216	2176	6258
DAPP1_+_100738052.23-P1P2	DAPP1	783	4	1657
DAPP1_-_100737993.23-P1P2	DAPP1	962	5	2782
DAPP1_-_100738017.23-P1P2	DAPP1	1637	1	0
DARS2_+_173793774.23-P1P2	DARS2	1697	0	0
DARS_+_136743129.23-P1P2	DARS	1458	1	1
DARS_-_136743091.23-P1P2	DARS	3970	2	0
DARS_-_136743145.23-P1P2	DARS	2974	9645	3
DBF4_+_87505817.23-P1P2	DBF4	3783	1	1
DBF4_+_87505826.23-P1P2	DBF4	671	0	0
DBF4_+_87506208.23-P1P2	DBF4	804	0	2
DBH_+_136501496.23-P1P2	DBH	1245	0	1
DBH_+_136501500.23-P1P2	DBH	992	6674	4985
DBH_+_136501907.23-P1P2	DBH	1484	2	1847
DBH_-_136501544.23-P1P2	DBH	2921	1	3
DBI_+_120124588.23-P1	DBI	1587	1	0
DBI_+_120124600.23-P1	DBI	1133	2278	5927
DBI_-_120124997.23-P1	DBI	3072	2999	1408
DBI_-_120125000.23-P1	DBI	2615	1	1167
DBI_-_120125842.23-P2	DBI	1586	0	2893
DBI_-_120126235.23-P2	DBI	986	0	255
DCD_-_55041682.23-P1P2	DCD	1164	0	2
DCD_-_55041900.23-P1P2	DCD	2380	4	1255
DCK_+_71859153.23-P1P2	DCK	1715	2	0
DCK_+_71859804.23-P1P2	DCK	1690	2	5366
DCK_-_71859323.23-P1P2	DCK	5987	3	5443
DCK_-_71859688.23-P1P2	DCK	2326	1667	3
DCLK1_+_36705270.23-ENST00000255448.4	DCLK1	3441	4	0
DCLK1_+_36705492.23-ENST00000255448.4	DCLK1	618	2	0
DCLK2_+_151000068.23-P1P2	DCLK2	62	4	5853
DCLK2_-_150999587.23-P1P2	DCLK2	3043	0	3156
DCLK2_-_150999622.23-P1P2	DCLK2	978	1962	3
DCLK2_-_150999968.23-P1P2	DCLK2	1529	2	1
DCLK3_+_36781225.23-P1P2	DCLK3	2819	0	1681
DCLK3_-_36781235.23-P1P2	DCLK3	5362	2	2037
DCLK3_-_36781316.23-P1P2	DCLK3	1260	0	1
DCTD_+_183838462.23-P1P2	DCTD	420	0	1386
DCTD_+_183838508.23-P1P2	DCTD	2691	0	0
DCTD_-_183838133.23-P1P2	DCTD	490	3	1801
DCTD_-_183838536.23-P1P2	DCTD	2517	1	2
DCXR_+_79995174.23-P1P2	DCXR	1322	5995	2
DCXR_+_79995501.23-P1P2	DCXR	1458	1	4
DDAH1_+_85930405.23-P1P2	DDAH1	2817	1	0
DDAH1_-_85930365.23-P1P2	DDAH1	4880	2894	4
DDAH1_-_85930417.23-P1P2	DDAH1	1571	4051	0
DDAH1_-_85930827.23-P1P2	DDAH1	2965	275	1388
DDAH2_+_31697839.23-P1P2	DDAH2	5693	5004	5224
DDAH2_-_31696730.23-P1P2	DDAH2	1529	3609	7183
DDAH2_-_31697596.23-P1P2	DDAH2	4626	1	2
DDC_+_50632705.23-P1P2	DDC	873	5	3139
DDC_+_50633113.23-P1P2	DDC	815	1	2
DDC_+_50633123.23-P1P2	DDC	2692	3	1601
DDC_-_50632675.23-P1P2	DDC	1176	4480	1122
DDR1_+_30850728.23-P2	DDR1	854	6	2069
DDR1_+_30850899.23-P2	DDR1	1628	4	3747
DDR1_+_30851171.23-P2	DDR1	5049	3	3
DDR1_+_30852305.23-P1	DDR1	3926	3	1443
DDR1_+_30852315.23-P1	DDR1	4317	1	6
DDR1_+_30852745.23-P1	DDR1	6129	6	4
DDR1_-_30850727.23-P2	DDR1	994	2489	3609
DDR1_-_30852492.23-P1	DDR1	1879	0	3
DDR2_+_162602272.23-P1P2	DDR2	721	0	0
DDR2_+_162602290.23-P1P2	DDR2	2409	4408	6
DECR1_-_91014077.23-P1P2	DECR1	4613	6143	2638
DECR1_-_91014106.23-P1P2	DECR1	2800	2	1
DGKA_+_56325365.23-P1P2	DGKA	1543	0	4
DGKA_-_56325140.23-P1P2	DGKA	1429	5	3250
DGKB_+_14942616.23-P1P2	DGKB	499	2	2192
DGKB_+_14942911.23-P1P2	DGKB	1481	2777	1
DGKB_+_14942915.23-P1P2	DGKB	2062	5402	2
DGKB_-_14942495.23-P1P2	DGKB	503	3	2495
DGKB_-_14942561.23-P1P2	DGKB	2834	1	3
DGKD_+_234263221.23-P1P2	DGKD	1703	2302	2873
DGKD_+_234263224.23-P1P2	DGKD	5808	5	3426
DGKD_-_234263173.23-P1P2	DGKD	983	5	1552
DGKD_-_234263257.23-P1P2	DGKD	1663	5031	1
DGKD_-_234263522.23-P1P2	DGKD	1021	7876	2931
DGKE_+_54911526.23-P1P2	DGKE	1176	1	1
DGKE_+_54911823.23-P1P2	DGKE	2412	1	2697
DGKE_+_54911838.23-P1P2	DGKE	144	3101	0
DGKE_+_54911843.23-P1P2	DGKE	3439	12095	1193
DGKG_+_186079543.23-P1P2	DGKG	2008	3	1829
DGKG_+_186079624.23-P1P2	DGKG	3011	1669	7
DGKG_+_186079946.23-P1P2	DGKG	1588	3	1531
DGKH_+_42614250.23-P2	DGKH	1064	5994	5936
DGKH_+_42622843.23-P1	DGKH	1222	1	1909
DGKH_+_42622867.23-P1	DGKH	6306	6	1574
DGKH_-_42614236.23-P2	DGKH	1458	2	1017
DGKH_-_42622785.23-P1	DGKH	1046	1	0
DGKH_-_42623106.23-P1	DGKH	2837	2666	3
DGKI_+_137531202.23-P1P2	DGKI	1467	1	0
DGKI_+_137531206.23-P1P2	DGKI	1290	1953	3533
DGKI_-_137531157.23-P1P2	DGKI	1356	2	1535
DGKI_-_137531574.23-P1P2	DGKI	6403	1740	5
DGKK_-_50213637.23-P1P2	DGKK	4175	3	3249
DGKK_-_50213743.23-P1P2	DGKK	1171	1	1
DGKK_-_50213780.23-P1P2	DGKK	3023	4	1472
DGKQ_+_967291.23-P1	DGKQ	2282	3	3133
DGKQ_+_967322.23-P1	DGKQ	3477	4	4
DGKQ_+_967337.23-P1	DGKQ	4858	2	4
DGKQ_+_980664.23-P2	DGKQ	1351	0	1451
DGKQ_+_980716.23-P2	DGKQ	855	5429	2455
DGKQ_-_967335.23-P1	DGKQ	5004	3	1245
DGKQ_-_980401.23-P2	DGKQ	1455	1578	5370
DGKQ_-_980679.23-P2	DGKQ	1576	1	3
DGKZ_+_46369445.23-P1P2	DGKZ	4462	3	1744
DGKZ_-_46369057.23-P1P2	DGKZ	2092	4558	1952
DGUOK_+_74154041.23-P1P2	DGUOK	3167	4	1863
DGUOK_-_74154035.23-P1P2	DGUOK	1581	2	0
DHCR7_+_71159403.23-P1P2	DHCR7	1438	2	1
DHCR7_+_71159406.23-P1P2	DHCR7	2341	1	1747
DHFRL1_+_93781711.23-P1P2	DHFRL1	1292	1824	2481
DHFRL1_+_93781714.23-P1P2	DHFRL1	1639	1	3
DHFRL1_+_93781735.23-P1P2	DHFRL1	3216	2	0
DHFRL1_-_93781340.23-P1P2	DHFRL1	1551	5	2560
DHODH_+_72049721.23-P2	DHODH	6979	1020	3332
DHODH_-_72042659.23-P1	DHODH	2763	4085	1752
DHODH_-_72042709.23-P1	DHODH	7485	8	2548
DHODH_-_72050090.23-P2	DHODH	1211	2164	2002
DHPS_+_12792300.23-P1P2	DHPS	2245	3	2672
DHPS_+_12792611.23-P1P2	DHPS	2981	7789	1113
DHPS_-_12792690.23-P1P2	DHPS	1646	4	3347
DHRS11_+_34948809.23-P1P2	DHRS11	1263	1	0
DHRS11_-_34948705.23-P1P2	DHRS11	3728	3	5
DHRS4L1_+_24506017.23-P1P2	DHRS4L1	746	3494	5
DHRS4L1_+_24506061.23-P1P2	DHRS4L1	1511	2241	3
DHRS4L1_+_24506110.23-P1P2	DHRS4L1	1454	4094	5
DHRS4L2_+_24458437.23-ENST00000382755.4	DHRS4L2	1226	0	1593
DHRS4L2_+_24458467.23-ENST00000382755.4	DHRS4L2	787	1	1704
DHRS4L2_-_24458057.23-ENST00000382755.4	DHRS4L2	1204	4979	1817
DHRS4_-_24423338.23-P1P2	DHRS4	1785	1	1
DLAT_+_111896544.23-P1P2	DLAT	1650	1	0
DLD_-_107531670.23-P1P2	DLD	875	1	0
DLG4_+_7108079.23-P2	DLG4	652	3989	1
DLG4_+_7108461.23-P2	DLG4	1286	3738	5
DLG4_+_7120527.23-P1	DLG4	1290	0	1
DLG4_-_7108418.23-P2	DLG4	1300	1	3
DLG4_-_7108426.23-P2	DLG4	207	3	1864
DLG4_-_7120934.23-P1	DLG4	4358	5	1583
DMPK_+_46285701.23-P1P2	DMPK	7099	10	3949
DMPK_-_46285540.23-P1P2	DMPK	6696	5531	6
DMPK_-_46285672.23-P1P2	DMPK	1433	1	1153
DNASE1_+_3704851.23-P1P2	DNASE1	2593	8491	6
DNASE1_+_3704866.23-P1P2	DNASE1	1556	1	1845
DNASE1_-_3704881.23-P1P2	DNASE1	1511	6	2093
DNPEP_+_220252581.23-P1P2	DNPEP	730	2105	1769
DNPEP_-_220252268.23-P1P2	DNPEP	1296	1	1868
DNPEP_-_220252618.23-P1P2	DNPEP	1010	3558	1680
DNTT_+_98064245.23-P1P2	DNTT	720	1	0
DNTT_+_98064251.23-P1P2	DNTT	349	1822	1
DNTT_-_98064235.23-P1P2	DNTT	1324	1	0
DNTT_-_98064304.23-P1P2	DNTT	1114	0	0
DOK1_+_74781491.23-P1P2	DOK1	1976	3	1747
DOK1_+_74781500.23-P1P2	DOK1	1354	4	3953
DOK1_-_74781904.23-P1P2	DOK1	811	1	1937
DOK1_-_74782111.23-P1P2	DOK1	2811	6394	3
DOLPP1_+_131843438.23-P1P2	DOLPP1	2307	2	1728
DOLPP1_+_131843452.23-P1P2	DOLPP1	1399	4	2244
DOLPP1_-_131843423.23-P1P2	DOLPP1	2469	2	3466
DOLPP1_-_131843451.23-P1P2	DOLPP1	2175	0	0
DPEP1_+_89680095.23-P2	DPEP1	2139	1675	559
DPEP1_+_89696906.23-P1	DPEP1	535	5993	2
DPEP1_-_89680046.23-P2	DPEP1	3472	3577	3259
DPEP1_-_89680073.23-P2	DPEP1	92	1540	1662
DPH5_+_101491288.23-P1P2	DPH5	1348	3	1417
DPH5_-_101491365.23-P1P2	DPH5	1453	2	2073
DPP4_+_162930574.23-P1P2	DPP4	690	4064	1675
DPP4_-_162930550.23-P1P2	DPP4	1106	0	1
DPP4_-_162930554.23-P1P2	DPP4	4087	3	1671
DPP6_-_153750142.23-ENST00000377770.3	DPP6	2306	4798	2
DPP6_-_153750145.23-ENST00000377770.3	DPP6	313	4893	1455
DPP6_-_153750172.23-ENST00000377770.3	DPP6	5754	3	1544
DPP6_-_153750222.23-ENST00000377770.3	DPP6	3624	2	4
DRD1_+_174870696.23-P1P2	DRD1	2698	5500	6
DRD1_+_174871080.23-P1P2	DRD1	2411	0	2
DRD1_+_174871119.23-P1P2	DRD1	3143	2286	0
DRD1_-_174871153.23-P1P2	DRD1	3065	5021	3
DRD2_+_113345655.23-P1P2	DRD2	3930	13536	1373
DRD2_-_113345669.23-P1P2	DRD2	664	2489	2
DRD4_+_637505.23-P1P2	DRD4	2238	2	1872
DRD4_+_637647.23-P1P2	DRD4	1141	5447	1
DRD4_+_637851.23-P1P2	DRD4	2933	3	2
DRD5_+_9783346.23-P1P2	DRD5	1447	3	1654
DRD5_+_9783764.23-P1P2	DRD5	1696	1	2
DRD5_-_9783776.23-P1P2	DRD5	1495	0	1
DSTN_+_17550778.23-P1P2	DSTN	524	1	1786
DSTN_+_17551017.23-P1P2	DSTN	1065	1	1847
DSTN_+_17551106.23-P1P2	DSTN	645	0	1470
DSTN_-_17550792.23-P1P2	DSTN	3271	4	2816
DSTYK_+_205180408.23-P1P2	DSTYK	2256	8354	1103
DSTYK_+_205180637.23-P1P2	DSTYK	3006	6	4273
DSTYK_+_205180672.23-P1P2	DSTYK	2194	1	1599
DTYMK_+_242626181.23-P1P2	DTYMK	2178	3746	4
DTYMK_+_242626191.23-P1P2	DTYMK	1482	0	0
DTYMK_+_242626194.23-P1P2	DTYMK	647	0	0
DUSP10_-_221915401.23-P1P2	DUSP10	917	0	1
DUSP11_+_74007021.23-P1P2	DUSP11	2528	5	1243
DUSP11_+_74007204.23-P1P2	DUSP11	2531	1	1191
DUSP11_+_74007207.23-P1P2	DUSP11	4547	2	1420
DUSP11_-_74007156.23-P1P2	DUSP11	1195	3905	6
DUSP12_+_161719994.23-P1P2	DUSP12	959	4	1
DUSP13_+_76868493.23-P1P2	DUSP13	2882	3	1
DUSP13_+_76868578.23-P1P2	DUSP13	1741	0	837
DUSP13_+_76868587.23-P1P2	DUSP13	760	1	0
DUSP13_+_76868592.23-P1P2	DUSP13	6901	4	1972
DUSP14_+_35850028.23-P1	DUSP14	2235	5243	4765
DUSP14_+_35850061.23-P1	DUSP14	1170	1	1370
DUSP14_+_35850412.23-P1	DUSP14	1196	1	1647
DUSP14_-_35850145.23-P1	DUSP14	1295	4705	2
DUSP14_-_35851878.23-P2	DUSP14	637	5756	1998
DUSP15_-_30458018.23-P1P2	DUSP15	5164	2070	2985
DUSP16_+_12715747.23-P1P2	DUSP16	4814	3	1627
DUSP16_-_12715408.23-P1P2	DUSP16	1196	0	3
DUSP16_-_12715572.23-P1P2	DUSP16	785	5531	3390
DUSP16_-_12715800.23-P1P2	DUSP16	2891	0	1
DUSP18_+_31063837.23-P1P2	DUSP18	2112	6582	3
DUSP18_-_31063814.23-P1P2	DUSP18	1032	6	2238
DUSP19_+_183943540.23-P1P2	DUSP19	1082	1	768
DUSP19_+_183943871.23-P1P2	DUSP19	1253	0	1
DUSP19_-_183943520.23-P1P2	DUSP19	2630	5	0
DUSP19_-_183943549.23-P1P2	DUSP19	1326	1	1
DUSP21_+_44703280.23-P1P2	DUSP21	4396	3	1719
DUSP21_+_44703285.23-P1P2	DUSP21	2663	3615	2437
DUSP21_+_44703749.23-P1P2	DUSP21	2401	5	2
DUSP21_-_44703299.23-P1P2	DUSP21	1622	1	1
DUSP22_+_292484.23-P1P2	DUSP22	1716	2047	2
DUSP22_+_292534.23-P1P2	DUSP22	1224	1	0
DUSP22_+_292594.23-P1P2	DUSP22	1378	0	2
DUSP22_-_292514.23-P1P2	DUSP22	1489	4530	4
DUSP22_-_292543.23-P1P2	DUSP22	1415	6816	1959
DUSP23_-_159750742.23-P1P2	DUSP23	1345	1	2
DUSP23_-_159750770.23-P1P2	DUSP23	3726	205	670
DUSP27_+_167063306.23-P1P2	DUSP27	1229	2	2068
DUSP2_-_96810902.23-P1P2	DUSP2	448	1	1646
DUSP3_-_41855892.23-P1P2	DUSP3	1606	6	5276
DUSP3_-_41855896.23-P1P2	DUSP3	1288	0	1666
DUSP3_-_41856116.23-P1P2	DUSP3	4350	0	439
DUSP3_-_41856293.23-P1P2	DUSP3	4398	6	1365
DUSP3_-_41856343.23-P1P2	DUSP3	1340	1	0
DUSP6_+_89745983.23-P1P2	DUSP6	5706	6847	2
DUSP6_+_89746249.23-P1P2	DUSP6	2380	1173	10731
DUSP6_-_89745866.23-P1P2	DUSP6	2272	4	1058
DUSP7_+_52083956.23-P2	DUSP7	3142	0	2
DUSP7_+_52090575.23-P1	DUSP7	1177	0	0
DUSP7_-_52083953.23-P2	DUSP7	5150	3	1475
DUSP7_-_52084341.23-P2	DUSP7	955	2	3
DUSP7_-_52090591.23-P1	DUSP7	1394	0	2
DUSP8_+_1593122.23-P1P2	DUSP8	1429	7880	1599
DUSP8_+_1593483.23-P1P2	DUSP8	2285	0	1025
DUSP8_-_1593052.23-P1P2	DUSP8	8315	615	7823
DUSP8_-_1593467.23-P1P2	DUSP8	1480	1	1
DUT_+_48623815.23-P1P2	DUT	401	1	2042
DYRK1A_-_38792686.23-ENST00000398960.2	DYRK1A	3356	1	1848
DYRK1A_-_38792743.23-ENST00000398960.2	DYRK1A	574	0	0
DYRK1A_-_38793061.23-ENST00000398960.2	DYRK1A	2963	5613	2206
DYRK1B_+_40324364.23-P1P2	DYRK1B	1581	1082	2022
DYRK1B_-_40324738.23-P1P2	DYRK1B	1103	3	1222
DYRK1B_-_40324747.23-P1P2	DYRK1B	2265	2571	2038
DYRK1B_-_40324757.23-P1P2	DYRK1B	1570	4652	6
DYRK2_+_68042950.23-P1P2	DYRK2	1081	4070	6148
DYRK2_+_68043017.23-P1P2	DYRK2	159	0	742
DYRK2_-_68042967.23-P1P2	DYRK2	6672	2795	1167
DYRK3_+_206808943.23-P1P2	DYRK3	4574	5774	4782
DYRK3_+_206808960.23-P1P2	DYRK3	931	2168	3524
DYRK3_+_206808972.23-P1P2	DYRK3	3488	3	2754
DYRK3_-_206808950.23-P1P2	DYRK3	3444	9656	2034
DYRK3_-_206809170.23-P1P2	DYRK3	2422	0	0
DYRK4_+_4714134.23-P1P2	DYRK4	2982	3	1899
DYRK4_-_4714147.23-P1P2	DYRK4	5461	9600	1988
EARS2_+_23568646.23-P1P2	EARS2	1184	4	2804
EARS2_-_23568672.23-P1P2	EARS2	1312	4	3432
ECE1_+_21671513.23-P1P2	ECE1	1608	6640	8
ECE1_+_21671951.23-P1P2	ECE1	1583	356	1767
ECE1_+_21671976.23-P1P2	ECE1	4082	5045	1660
EDA_+_68836408.23-P1P2	EDA	2945	10906	4
EDA_-_68836167.23-P1P2	EDA	1443	3	2053
EEA1_+_93322992.23-P1P2	EEA1	1333	0	1
EEA1_-_93323009.23-P1P2	EEA1	3685	1826	1327
EEA1_-_93323020.23-P1P2	EEA1	3361	1	2
EEF2K_+_22217639.23-P1P2	EEF2K	4741	2	1969
EEF2K_+_22217643.23-P1P2	EEF2K	1794	4446	1728
EEF2K_+_22217677.23-P1P2	EEF2K	794	2212	1627
EEF2_+_3983722.23-P2	EEF2	3231	3	1935
EEF2_+_3983737.23-P2	EEF2	1610	0	1290
EEF2_+_3984158.23-P2	EEF2	1623	4	2125
EEF2_-_3985048.23-P1	EEF2	671	1	0
EEF2_-_3985225.23-P1	EEF2	1015	4118	1
EFNB2_+_107186987.23-P1P2	EFNB2	1314	2	701
EFNB2_-_107187051.23-P1P2	EFNB2	2609	0	0
EFNB2_-_107187363.23-P1P2	EFNB2	46	0	0
EFNB2_-_107187393.23-P1P2	EFNB2	3755	1	2
EFTUD1_+_82554613.23-P1P2	EFTUD1	1729	0	0
EGFR_+_55087181.23-P1P2	EGFR	1540	5652	5369
EGFR_-_55086784.23-P1P2	EGFR	2639	4422	4526
EGFR_-_55086816.23-P1P2	EGFR	10514	7912	4
EGLN1_+_231557802.23-P1P2	EGLN1	614	5541	3413
EGLN1_-_231557638.23-P1P2	EGLN1	3965	4	3532
EGLN1_-_231557682.23-P1P2	EGLN1	59	6533	1516
EGLN2_+_41284591.23-P2	EGLN2	74	0	906
EGLN2_+_41305438.23-P1	EGLN2	1705	7526	1645
EGLN2_-_41284185.23-P2	EGLN2	544	0	1
EGLN2_-_41284588.23-P2	EGLN2	1096	0	1
EGLN2_-_41305138.23-P1	EGLN2	975	8486	1970
EGLN3_+_34420264.23-P1P2	EGLN3	3230	2	1184
EGLN3_-_34419914.23-P1P2	EGLN3	2343	2	2019
EGLN3_-_34420217.23-P1P2	EGLN3	974	4	0
EGLN3_-_34420230.23-P1P2	EGLN3	1150	4315	3683
EGLN3_-_34420234.23-P1P2	EGLN3	2748	13273	2145
EHHADH_+_184971776.23-P1P2	EHHADH	2047	0	0
EHHADH_+_184971792.23-P1P2	EHHADH	1964	0	0
EHHADH_+_184971814.23-P1P2	EHHADH	1465	1	0
EHHADH_-_184971438.23-P1P2	EHHADH	5045	3	2
EIF2AK1_+_6098590.23-P1P2	EIF2AK1	1576	1	0
EIF2AK1_+_6098754.23-P1P2	EIF2AK1	1347	0	2657
EIF2AK1_+_6098764.23-P1P2	EIF2AK1	1386	2	1528
EIF2AK1_+_6098771.23-P1P2	EIF2AK1	1375	1	0
EIF2AK1_+_6098815.23-P1P2	EIF2AK1	1672	2	0
EIF2AK2_+_37384079.23-P1P2	EIF2AK2	4001	3	1847
EIF2AK2_-_37384096.23-P1P2	EIF2AK2	1848	2842	953
EIF2AK3_+_88926608.23-P1P2	EIF2AK3	3731	5746	1896
EIF2AK3_+_88926929.23-P1P2	EIF2AK3	7819	6	3309
EIF2AK3_-_88926550.23-P1P2	EIF2AK3	4790	4705	1177
EIF2AK3_-_88926935.23-P1P2	EIF2AK3	1628	4274	7150
EIF2AK4_+_40226372.23-P1P2	EIF2AK4	2808	7166	1598
EIF2AK4_+_40226377.23-P1P2	EIF2AK4	2326	5529	4713
EIF2AK4_+_40226656.23-P1P2	EIF2AK4	1435	2	1
EIF2AK4_-_40226368.23-P1P2	EIF2AK4	1010	2350	3
ELANE_+_852322.23-P1P2	ELANE	1172	2	0
ELANE_+_852365.23-P1P2	ELANE	1471	2520	1
ELANE_+_852646.23-P1P2	ELANE	5348	1669	2580
ELANE_-_853519.23-P1P2	ELANE	2293	6	3721
ELOVL4_-_80656842.23-P1P2	ELOVL4	2789	2328	2
ELOVL4_-_80657202.23-P1P2	ELOVL4	1288	2	1074
ELOVL4_-_80657225.23-P1P2	ELOVL4	150	0	0
ELSPBP1_+_48497906.23-P1P2	ELSPBP1	1094	6276	1363
ELSPBP1_+_48497995.23-P1P2	ELSPBP1	1193	0	1
ELSPBP1_+_48498343.23-P1P2	ELSPBP1	4933	1	5
ELSPBP1_-_48498155.23-P1P2	ELSPBP1	1326	4	3942
