Gene	sgRNA	eff
ECE1	ECE1_+_21671976.23-P1P2	1
EDA	EDA_+_68836408.23-P1P2	1
EDA	EDA_-_68836167.23-P1P2	1
EEA1	EEA1_+_93322992.23-P1P2	1
EEA1	EEA1_-_93323009.23-P1P2	1
EEA1	EEA1_-_93323020.23-P1P2	1
EEF2K	EEF2K_+_22217639.23-P1P2	1
EEF2K	EEF2K_+_22217643.23-P1P2	1
EEF2K	EEF2K_+_22217677.23-P1P2	1
EEF2	EEF2_+_3983722.23-P2	1
EEF2	EEF2_+_3983737.23-P2	1
EEF2	EEF2_+_3984158.23-P2	1
EEF2	EEF2_-_3985048.23-P1	1
EEF2	EEF2_-_3985225.23-P1	1
EFNB2	EFNB2_+_107186987.23-P1P2	1
EFNB2	EFNB2_-_107187051.23-P1P2	1
EFNB2	EFNB2_-_107187363.23-P1P2	1
EFNB2	EFNB2_-_107187393.23-P1P2	1
EFTUD1	EFTUD1_+_82554613.23-P1P2	1
EGFR	EGFR_+_55087181.23-P1P2	1
EGFR	EGFR_-_55086784.23-P1P2	1
EGFR	EGFR_-_55086816.23-P1P2	1
EGLN1	EGLN1_+_231557802.23-P1P2	1
EGLN1	EGLN1_-_231557638.23-P1P2	1
EGLN1	EGLN1_-_231557682.23-P1P2	1
EGLN2	EGLN2_+_41284591.23-P2	1
EGLN2	EGLN2_+_41305438.23-P1	1
EGLN2	EGLN2_-_41284185.23-P2	1
EGLN2	EGLN2_-_41284588.23-P2	1
EGLN2	EGLN2_-_41305138.23-P1	1
EGLN3	EGLN3_+_34420264.23-P1P2	1
EGLN3	EGLN3_-_34419914.23-P1P2	1
EGLN3	EGLN3_-_34420217.23-P1P2	1
EGLN3	EGLN3_-_34420230.23-P1P2	1
EGLN3	EGLN3_-_34420234.23-P1P2	1
EHHADH	EHHADH_+_184971776.23-P1P2	1
EHHADH	EHHADH_+_184971792.23-P1P2	1
EHHADH	EHHADH_+_184971814.23-P1P2	1
EHHADH	EHHADH_-_184971438.23-P1P2	1
EIF2AK1	EIF2AK1_+_6098590.23-P1P2	1
EIF2AK1	EIF2AK1_+_6098754.23-P1P2	1
EIF2AK1	EIF2AK1_+_6098764.23-P1P2	1
EIF2AK1	EIF2AK1_+_6098771.23-P1P2	1
EIF2AK1	EIF2AK1_+_6098815.23-P1P2	1
EIF2AK2	EIF2AK2_+_37384079.23-P1P2	1
EIF2AK2	EIF2AK2_-_37384096.23-P1P2	1
EIF2AK3	EIF2AK3_+_88926608.23-P1P2	1
EIF2AK3	EIF2AK3_+_88926929.23-P1P2	1
EIF2AK3	EIF2AK3_-_88926550.23-P1P2	1
EIF2AK3	EIF2AK3_-_88926935.23-P1P2	1
EIF2AK4	EIF2AK4_+_40226372.23-P1P2	1
EIF2AK4	EIF2AK4_+_40226377.23-P1P2	1
EIF2AK4	EIF2AK4_+_40226656.23-P1P2	1
EIF2AK4	EIF2AK4_-_40226368.23-P1P2	1
ELANE	ELANE_+_852322.23-P1P2	1
ELANE	ELANE_+_852365.23-P1P2	1
ELANE	ELANE_+_852646.23-P1P2	1
ELANE	ELANE_-_853519.23-P1P2	1
ELOVL4	ELOVL4_-_80656842.23-P1P2	1
ELOVL4	ELOVL4_-_80657202.23-P1P2	1
ELOVL4	ELOVL4_-_80657225.23-P1P2	1
ELSPBP1	ELSPBP1_+_48497906.23-P1P2	1
ELSPBP1	ELSPBP1_+_48497995.23-P1P2	1
ELSPBP1	ELSPBP1_+_48498343.23-P1P2	1
ELSPBP1	ELSPBP1_-_48498155.23-P1P2	1
EN2	EN2_+_155251468.23-P1P2	1
EN2	EN2_-_155251027.23-P1P2	1
EN2	EN2_-_155251032.23-P1P2	1
EN2	EN2_-_155251054.23-P1P2	1
ENO3	ENO3_+_4851652.23-P2	1
ENO3	ENO3_+_4854429.23-P1	1
ENO3	ENO3_-_4851690.23-P2	1
ENO3	ENO3_-_4851904.23-P2	1
ENO3	ENO3_-_4852067.23-P2	1
ENO3	ENO3_-_4854442.23-P1	1
ENO3	ENO3_-_4854477.23-P1	1
ENO3	ENO3_-_4854481.23-P1	1
ENOPH1	ENOPH1_+_83351734.23-P1P2	1
ENOPH1	ENOPH1_-_83351791.23-P1P2	1
ENOPH1	ENOPH1_-_83352157.23-P1P2	1
ENPEP	ENPEP_+_111397849.23-P1P2	1
ENPEP	ENPEP_-_111397397.23-P1P2	1
ENPP1	ENPP1_+_132129566.23-P1P2	1
ENPP1	ENPP1_-_132129531.23-P1P2	1
ENPP2	ENPP2_+_120650962.23-P1P2	1
ENPP2	ENPP2_+_120651062.23-P1P2	1
ENPP2	ENPP2_-_120651026.23-P1P2	1
ENPP2	ENPP2_-_120651034.23-P1P2	1
ENPP3	ENPP3_+_131949691.23-P2	1
ENPP3	ENPP3_+_131958457.23-P1	1
ENPP3	ENPP3_+_131958835.23-P1	1
ENPP3	ENPP3_-_131949650.23-P2	1
ENPP3	ENPP3_-_131958476.23-P1	1
ENPP3	ENPP3_-_131958520.23-P1	1
EPHA10	EPHA10_+_38230362.23-P2	1
EPHA10	EPHA10_+_38230376.23-P2	1
EPHA10	EPHA10_-_38218850.23-P1	1
EPHA10	EPHA10_-_38218883.23-P1	1
EPHA10	EPHA10_-_38218906.23-P1	1
EPHA10	EPHA10_-_38230767.23-P2	1
EPHA10	EPHA10_-_38230770.23-P2	1
EPHA1	EPHA1_+_143105889.23-P1P2	1
EPHA1	EPHA1_-_143105513.23-P1P2	1
EPHA1	EPHA1_-_143105934.23-P1P2	1
EPHA2	EPHA2_+_16482099.23-P1P2	1
EPHA2	EPHA2_+_16482142.23-P1P2	1
EPHA2	EPHA2_+_16482159.23-P1P2	1
EPHA2	EPHA2_-_16482174.23-P1P2	1
EPHA3	EPHA3_+_89156833.23-P1P2	1
EPHA3	EPHA3_+_89157018.23-P1P2	1
EPHA3	EPHA3_-_89156849.23-P1P2	1
EPHA4	EPHA4_+_222436584.23-P1P2	1
EPHA4	EPHA4_+_222436959.23-P1P2	1
EPHA4	EPHA4_+_222436964.23-P1P2	1
EPHA4	EPHA4_+_222436980.23-P1P2	1
EPHA4	EPHA4_+_222436995.23-P1P2	1
EPHA5	EPHA5_+_66536184.23-P1P2	1
EPHA5	EPHA5_-_66535727.23-P1P2	1
EPHA5	EPHA5_-_66535737.23-P1P2	1
EPHA5	EPHA5_-_66535745.23-P1P2	1
EPHA6	EPHA6_+_96533426.23-P1P2	1
EPHA6	EPHA6_-_96533463.23-P1P2	1
EPHA6	EPHA6_-_96533466.23-P1P2	1
EPHA7	EPHA7_+_94128782.23-P1P2	1
EPHA7	EPHA7_+_94128885.23-P1P2	1
EPHA7	EPHA7_+_94129220.23-P1P2	1
EPHA7	EPHA7_-_94128832.23-P1P2	1
EPHA8	EPHA8_+_22889976.23-P1P2	1
EPHA8	EPHA8_+_22889995.23-P1P2	1
EPHA8	EPHA8_+_22890006.23-P1P2	1
EPHA8	EPHA8_-_22890011.23-P1P2	1
EPHA8	EPHA8_-_22890387.23-P1P2	1
EPHB1	EPHB1_+_134514121.23-P1P2	1
EPHB1	EPHB1_-_134514128.23-P1P2	1
EPHB1	EPHB1_-_134514518.23-P1P2	1
EPHB1	EPHB1_-_134514558.23-P1P2	1
EPHB2	EPHB2_+_23037514.23-P1P2	1
EPHB2	EPHB2_-_23037351.23-P1P2	1
EPHB2	EPHB2_-_23037753.23-P1P2	1
EPHB2	EPHB2_-_23037808.23-P1P2	1
EPHB3	EPHB3_+_184280015.23-P1P2	1
EPHB3	EPHB3_-_184279954.23-P1P2	1
EPHB4	EPHB4_+_100424757.23-P1P2	1
EPHB4	EPHB4_-_100424673.23-P1P2	1
EPHB4	EPHB4_-_100424909.23-P1P2	1
EPHB6	EPHB6_+_142552855.23-P1P2	1
EPHB6	EPHB6_+_142553246.23-P1P2	1
EPHB6	EPHB6_-_142552874.23-P1P2	1
EPHB6	EPHB6_-_142553113.23-P1P2	1
EPHB6	EPHB6_-_142553312.23-P1P2	1
EPHX2	EPHX2_+_27348679.23-P1P2	1
EPHX2	EPHX2_+_27348720.23-P1P2	1
EPHX2	EPHX2_+_27348723.23-P1P2	1
EPHX2	EPHX2_+_27349105.23-P1P2	1
EPM2A	EPM2A_-_146056117.23-P1P2	1
EPM2A	EPM2A_-_146056127.23-P1P2	1
EPM2A	EPM2A_-_146056174.23-P1P2	1
EPM2A	EPM2A_-_146056194.23-P1P2	1
EPN1	EPN1_+_56186684.23-P1P2	1
EPN1	EPN1_+_56186947.23-P1P2	1
EPN1	EPN1_+_56187100.23-P1P2	1
EPN1	EPN1_-_56186615.23-P1P2	1
EPN1	EPN1_-_56186656.23-P1P2	1
EPOR	EPOR_+_11491868.23-P1	1
EPOR	EPOR_+_11491872.23-P1	1
EPOR	EPOR_+_11494968.23-P2	1
EPOR	EPOR_+_11494971.23-P2	1
EPOR	EPOR_-_11491517.23-P1	1
EPOR	EPOR_-_11491902.23-P1	1
EPOR	EPOR_-_11494977.23-P2	1
EPRS	EPRS_+_220219441.23-P1P2	1
EPS8L1	EPS8L1_-_55587247.23-P1	1
EPS8L1	EPS8L1_-_55587300.23-P1	1
EPS8L1	EPS8L1_-_55591798.23-P2	1
EPS8L1	EPS8L1_-_55591802.23-P2	1
EPS8L1	EPS8L1_-_55592240.23-P2	1
EPX	EPX_+_56270148.23-P1P2	1
ERBB2	ERBB2_+_37856367.23-P1P2	1
ERBB2	ERBB2_+_37856373.23-P1P2	1
ERBB2	ERBB2_-_37856706.23-P1P2	1
ERBB2	ERBB2_-_37856751.23-P1P2	1
ERBB3	ERBB3_+_56474277.23-P1P2	1
ERBB3	ERBB3_-_56474350.23-P1P2	1
ERBB4	ERBB4_+_213403805.23-P1P2	1
ERBB4	ERBB4_+_213403841.23-P1P2	1
ERBB4	ERBB4_+_213403862.23-P1P2	1
ERBB4	ERBB4_-_213403823.23-P1P2	1
ERN1	ERN1_-_62207431.23-P1P2	1
ERN1	ERN1_-_62207440.23-P1P2	1
ERN1	ERN1_-_62207482.23-P1P2	1
ERN1	ERN1_-_62207499.23-P1P2	1
ERN2	ERN2_+_23724488.23-P1P2	1
ERN2	ERN2_+_23724548.23-P1P2	1
ERN2	ERN2_-_23724305.23-P1P2	1
ERO1LB	ERO1LB_-_236445015.23-P1P2	1
ERO1LB	ERO1LB_-_236445193.23-P1P2	1
ERO1LB	ERO1LB_-_236445200.23-P1P2	1
ERO1LB	ERO1LB_-_236445220.23-P1P2	1
ESD	ESD_+_47371228.23-P1P2	1
ESD	ESD_+_47371238.23-P1P2	1
ESD	ESD_-_47371244.23-P1P2	1
ESD	ESD_-_47371269.23-P1P2	1
ESRRG	ESRRG_+_217112620.23-ENST00000361395.2,ENST00000366938.2,ENST00000487276.1	1
ESRRG	ESRRG_+_217250274.23-ENST00000493748.1	1
ESRRG	ESRRG_+_217262979.23-ENST00000359162.2,ENST00000361525.3	1
ESRRG	ESRRG_+_217263157.23-ENST00000359162.2,ENST00000361525.3	1
ESRRG	ESRRG_+_217311037.23-ENST00000366940.2,ENST00000493603.1	1
ESRRG	ESRRG_+_217311105.23-ENST00000366940.2,ENST00000493603.1	1
ESRRG	ESRRG_-_216978269.23-ENST00000360012.3	1
ESRRG	ESRRG_-_217112951.23-ENST00000361395.2,ENST00000366938.2,ENST00000487276.1	1
ESRRG	ESRRG_-_217250321.23-ENST00000493748.1	1
ESRRG	ESRRG_-_217250324.23-ENST00000493748.1	1
ESRRG	ESRRG_-_217263115.23-ENST00000359162.2,ENST00000361525.3	1
ESRRG	ESRRG_-_217311078.23-ENST00000366940.2,ENST00000493603.1	1
ETFDH	ETFDH_+_159593530.23-P1P2	1
ETFDH	ETFDH_-_159593465.23-P1P2	1
ETFDH	ETFDH_-_159593860.23-P1P2	1
ETFDH	ETFDH_-_159593941.23-P1P2	1
ETNK1	ETNK1_+_22778206.23-P1P2	1
ETNK1	ETNK1_+_22778284.23-P1P2	1
ETNK1	ETNK1_+_22778526.23-P1P2	1
ETNK1	ETNK1_-_22778158.23-P1P2	1
ETNK2	ETNK2_+_204121100.23-P1P2	1
ETNK2	ETNK2_-_204120701.23-P1P2	1
EXTL2	EXTL2_+_101360354.23-P1P2	1
EXTL2	EXTL2_+_101360390.23-P1P2	1
EXTL2	EXTL2_+_101360403.23-P1P2	1
EXTL2	EXTL2_-_101360384.23-P1P2	1
F10	F10_+_113777162.23-P1P2	1
F10	F10_-_113777653.23-P1P2	1
F11	F11_-_187187374.23-P1P2	1
F13A1	F13A1_+_6320869.23-P1P2	1
F13A1	F13A1_-_6320799.23-P1P2	1
F13A1	F13A1_-_6320813.23-P1P2	1
F13A1	F13A1_-_6320855.23-P1P2	1
F2R	F2R_+_76011955.23-P1P2	1
F2R	F2R_+_76011973.23-P1P2	1
F2R	F2R_+_76011989.23-P1P2	1
F2	F2_+_46741184.23-P1P2	1
F2	F2_+_46741243.23-P1P2	1
F3	F3_+_94997411.23-P2	1
F3	F3_+_94997899.23-P2	1
F3	F3_+_95007061.23-P1	1
F3	F3_+_95007264.23-P1	1
F3	F3_-_94997459.23-P2	1
F3	F3_-_95006865.23-P1	1
F3	F3_-_95007077.23-P1	1
F3	F3_-_95007293.23-P1	1
F5	F5_+_169555628.23-P1P2	1
F5	F5_+_169555656.23-P1P2	1
F5	F5_+_169555691.23-P1P2	1
F5	F5_-_169555669.23-P1P2	1
F7	F7_-_113760127.23-P1P2	1
F7	F7_-_113760553.23-P1P2	1
F7	F7_-_113760584.23-P1P2	1
F9	F9_+_138612961.23-P1P2	1
F9	F9_+_138612976.23-P1P2	1
FAAH	FAAH_-_46859998.23-P1P2	1
FAAH	FAAH_-_46860023.23-P1P2	1
FAAH	FAAH_-_46860266.23-P1P2	1
FAAH	FAAH_-_46860426.23-P1P2	1
FABP6	FABP6_+_159640693.23-P1P2	1
FABP6	FABP6_-_159640788.23-P1P2	1
FABP6	FABP6_-_159640843.23-P1P2	1
FADS1	FADS1_+_61583853.23-P1P2	1
FADS1	FADS1_-_61583890.23-P1P2	1
FADS1	FADS1_-_61584296.23-P1P2	1
FADS2	FADS2_+_61583853.23-P2	1
FADS2	FADS2_+_61584196.23-P2	1
FADS2	FADS2_+_61584226.23-P2	1
FADS2	FADS2_-_61595853.23-P1	1
FADS2	FADS2_-_61595969.23-P1	1
FADS2	FADS2_-_61596156.23-P1	1
FADS2	FADS2_-_61596187.23-P1	1
FAH	FAH_+_80445358.23-P1P2	1
FAH	FAH_+_80445380.23-P1P2	1
FAH	FAH_+_80445805.23-P1P2	1
FAH	FAH_-_80445797.23-P1P2	1
FAH	FAH_-_80445858.23-P1P2	1
FARS2	FARS2_+_5261243.23-P1P2	1
FARS2	FARS2_-_5261304.23-P1P2	1
FARSA	FARSA_+_13044144.23-P1P2	1
FARSA	FARSA_-_13044550.23-P1P2	1
FASTK	FASTK_-_150777466.23-P1P2	1
FASTK	FASTK_-_150777855.23-P1P2	1
FBP1	FBP1_+_97401758.23-P1P2	1
FBP1	FBP1_+_97401761.23-P1P2	1
FBP1	FBP1_-_97401323.23-P1P2	1
FBP1	FBP1_-_97401397.23-P1P2	1
FBP1	FBP1_-_97401424.23-P1P2	1
FBP2	FBP2_+_97356076.23-P1P2	1
FBP2	FBP2_-_97356067.23-P1P2	1
FCER1A	FCER1A_+_159272164.23-P1P2	1
FCER1G	FCER1G_+_161185094.23-P1P2	1
FCER1G	FCER1G_+_161185105.23-P1P2	1
FCER1G	FCER1G_+_161185117.23-P1P2	1
FCER1G	FCER1G_+_161185306.23-P1P2	1
FCGR1B	FCGR1B_+_120935888.23-P1P2	1
FCGR1B	FCGR1B_-_120935520.23-P1P2	1
FCGR1B	FCGR1B_-_120935672.23-P1P2	1
FCGR3A	FCGR3A_+_161519345.23-P1P2	1
FCGR3A	FCGR3A_-_161519304.23-P1P2	1
FCGR3B	FCGR3B_-_161600528.23-P1P2	1
FCGR3B	FCGR3B_-_161600958.23-P1P2	1
FCRL2	FCRL2_+_157746672.23-P1P2	1
FCRL2	FCRL2_+_157746696.23-P1P2	1
FCRL2	FCRL2_-_157746496.23-P1P2	1
FDX1	FDX1_+_110300809.23-P1P2	1
FDX1	FDX1_+_110301114.23-P1P2	1
FDX1	FDX1_-_110300684.23-P1P2	1
FDXR	FDXR_+_72868669.23-P1P2	1
FDXR	FDXR_+_72868925.23-P1P2	1
FECH	FECH_+_55253870.23-P1P2	1
FECH	FECH_+_55253900.23-P1P2	1
FER	FER_+_108084006.23-P2	1
FER	FER_+_108084110.23-P2	1
FER	FER_+_108084710.23-P1	1
FES	FES_+_91427657.23-P1P2	1
FES	FES_+_91427765.23-P1P2	1
FES	FES_+_91428120.23-P1P2	1
FES	FES_+_91428156.23-P1P2	1
FES	FES_-_91427739.23-P1P2	1
FFAR1	FFAR1_+_35842483.23-ENST00000246553.2	1
FFAR1	FFAR1_+_35842497.23-ENST00000246553.2	1
FFAR1	FFAR1_+_35842864.23-ENST00000246553.2	1
FFAR1	FFAR1_-_35842482.23-ENST00000246553.2	1
FGA	FGA_+_155511862.23-P1P2	1
FGA	FGA_+_155511898.23-P1P2	1
FGB	FGB_-_155484182.23-P1P2	1
FGB	FGB_-_155484281.23-P1P2	1
FGB	FGB_-_155484284.23-P1P2	1
FGF4	FGF4_+_69589653.23-P1P2	1
FGF4	FGF4_+_69589742.23-P1P2	1
FGF4	FGF4_+_69590093.23-P1P2	1
FGFR1	FGFR1_+_38326106.23-P1P2	1
FGFR1	FGFR1_-_38325683.23-P1P2	1
FGFR1	FGFR1_-_38326082.23-P1P2	1
FGFR2	FGFR2_+_123357591.23-P1P2	1
FGFR2	FGFR2_+_123357876.23-P1P2	1
FGFR2	FGFR2_-_123357455.23-P1P2	1
FGFR2	FGFR2_-_123357673.23-P1P2	1
FGFR2	FGFR2_-_123357892.23-P1P2	1
FGFR3	FGFR3_+_1795055.23-P1P2	1
FGFR3	FGFR3_+_1795504.23-P1P2	1
FGFR3	FGFR3_+_1795549.23-P1P2	1
FGFR3	FGFR3_-_1795030.23-P1P2	1
FGFR4	FGFR4_+_176514298.23-P1P2	1
FGFR4	FGFR4_+_176514335.23-P1P2	1
FGFR4	FGFR4_-_176513946.23-P1P2	1
FGFR4	FGFR4_-_176514342.23-P1P2	1
FGGY	FGGY_+_59762509.23-P1P2	1
FGGY	FGGY_+_59762753.23-P1P2	1
FGG	FGG_+_155533773.23-P1P2	1
FGG	FGG_-_155533817.23-P1P2	1
FGR	FGR_+_27961158.23-P1P2	1
FGR	FGR_+_27961203.23-P1P2	1
FGR	FGR_+_27961218.23-P1P2	1
FGR	FGR_+_27961627.23-P1P2	1
FLT1	FLT1_+_29068777.23-P1P2	1
FLT1	FLT1_+_29068815.23-P1P2	1
FLT1	FLT1_+_29068870.23-P1P2	1
FLT1	FLT1_-_29068808.23-P1P2	1
FLT3LG	FLT3LG_+_49977519.23-P1P2	1
FLT3LG	FLT3LG_-_49977874.23-P1P2	1
FLT3LG	FLT3LG_-_49977882.23-P1P2	1
FLT3LG	FLT3LG_-_49977908.23-P1P2	1
FLT3	FLT3_+_28674290.23-P1P2	1
FLT3	FLT3_+_28674687.23-P1P2	1
FLT3	FLT3_+_28674697.23-P1P2	1
FLT3	FLT3_-_28674256.23-P1P2	1
FLT3	FLT3_-_28674369.23-P1P2	1
FLT4	FLT4_-_180076146.23-P1P2	1
FLT4	FLT4_-_180076214.23-P1P2	1
FLT4	FLT4_-_180076531.23-P1P2	1
FN3KRP	FN3KRP_-_80674606.23-P1P2	1
FN3KRP	FN3KRP_-_80674676.23-P1P2	1
FN3KRP	FN3KRP_-_80675002.23-P1P2	1
FN3KRP	FN3KRP_-_80675016.23-P1P2	1
FN3K	FN3K_+_80693768.23-P1P2	1
FN3K	FN3K_-_80693475.23-P1P2	1
FN3K	FN3K_-_80693883.23-P1P2	1
FN3K	FN3K_-_80693887.23-P1P2	1
FNTA	FNTA_+_42911840.23-P1P2	1
FNTA	FNTA_-_42911527.23-P1P2	1
FNTB	FNTB_+_65381194.23-P1P2	1
FNTB	FNTB_+_65381421.23-P1P2	1
FNTB	FNTB_+_65381596.23-P1P2	1
FNTB	FNTB_-_65381231.23-P1P2	1
FNTB	FNTB_-_65381264.23-P1P2	1
FOLH1	FOLH1_+_49229684.23-P1P2	1
FOLH1	FOLH1_+_49230103.23-P1P2	1
FOLR2	FOLR2_+_71927884.23-P1P2	1
FOLR3	FOLR3_+_71826241.23-P1	1
FOLR3	FOLR3_+_71826247.23-P1	1
FOLR3	FOLR3_-_71825982.23-P1	1
FOLR3	FOLR3_-_71846795.23-P2	1
FOLR3	FOLR3_-_71846798.23-P2	1
FPGS	FPGS_+_130565231.23-P1P2	1
FPGS	FPGS_-_130565579.23-P1P2	1
FPGS	FPGS_-_130565615.23-P1P2	1
FPR1	FPR1_-_52255098.23-P1P2	1
FPR1	FPR1_-_52255125.23-P1P2	1
FPR1	FPR1_-_52255138.23-P1P2	1
FRK	FRK_+_116381516.23-P1P2	1
FRK	FRK_+_116381900.23-P1P2	1
FRK	FRK_+_116381959.23-P1P2	1
FRK	FRK_+_116381964.23-P1P2	1
FRK	FRK_-_116381891.23-P1P2	1
FSHR	FSHR_+_49381159.23-P1P2	1
FSHR	FSHR_-_49381435.23-P1P2	1
FST	FST_+_52776503.23-P1P2	1
FST	FST_+_52776524.23-P1P2	1
FST	FST_-_52776650.23-P1P2	1
FST	FST_-_52776718.23-P1P2	1
FTCD	FTCD_+_47562172.23-P2	1
FTCD	FTCD_+_47562608.23-P2	1
FTCD	FTCD_+_47562611.23-P2	1
FTCD	FTCD_+_47575445.23-P1	1
FTCD	FTCD_+_47575452.23-P1	1
FTH1	FTH1_+_61734611.23-P1P2	1
FTH1	FTH1_+_61734626.23-P1P2	1
FTH1	FTH1_+_61734636.23-P1P2	1
FTH1	FTH1_-_61734588.23-P1P2	1
FTH1	FTH1_-_61734683.23-P1P2	1
FTL	FTL_+_49468653.23-P1P2	1
FTL	FTL_+_49468852.23-P1P2	1
FTL	FTL_+_49469010.23-P1P2	1
FTL	FTL_+_49469019.23-P1P2	1
FUK	FUK_+_70488509.23-P1P2	1
FUK	FUK_+_70488543.23-P1P2	1
FUK	FUK_-_70488529.23-P1P2	1
FXYD2	FXYD2_+_117698373.23-P2	1
FXYD2	FXYD2_+_117698783.23-P2	1
FXYD2	FXYD2_-_117695004.23-P1	1
FXYD2	FXYD2_-_117695409.23-P1	1
FYN	FYN_+_112194476.23-P1P2	1
FYN	FYN_-_112194552.23-P1P2	1
G6PC2	G6PC2_+_169757849.23-P1P2	1
G6PC2	G6PC2_+_169757897.23-P1P2	1
G6PC2	G6PC2_-_169757948.23-P1P2	1
G6PC2	G6PC2_-_169758033.23-P1P2	1
G6PC3	G6PC3_+_42148290.23-P1P2	1
G6PC3	G6PC3_+_42148328.23-P1P2	1
G6PC	G6PC_-_41052899.23-P1P2	1
GAA	GAA_+_78075599.23-P1P2	1
GAA	GAA_+_78075802.23-P1P2	1
GAA	GAA_-_78075387.23-P1P2	1
GABBR1	GABBR1_+_29595758.23-P1	1
GABBR1	GABBR1_+_29595761.23-P1	1
GABBR1	GABBR1_+_29595764.23-P1	1
GABBR1	GABBR1_+_29600584.23-P2	1
GABBR1	GABBR1_+_29600967.23-P2	1
GABBR2	GABBR2_+_101470817.23-P1P2	1
GABBR2	GABBR2_+_101470820.23-P1P2	1
GABBR2	GABBR2_-_101470780.23-P1P2	1
GABRA1	GABRA1_+_161275363.23-P1P2	1
GABRA1	GABRA1_+_161275377.23-P1P2	1
GABRA1	GABRA1_-_161275214.23-P1P2	1
GABRA2	GABRA2_-_46391974.23-P1P2	1
GABRA3	GABRA3_+_151619682.23-P1P2	1
GABRA3	GABRA3_+_151619738.23-P1P2	1
GABRA3	GABRA3_-_151619548.23-P1P2	1
GABRA4	GABRA4_+_46995154.23-P1P2	1
GABRA4	GABRA4_+_46995178.23-P1P2	1
GABRA4	GABRA4_-_46995518.23-P1P2	1
GABRA5	GABRA5_-_27112253.23-P1P2	1
GABRA5	GABRA5_-_27112425.23-P1P2	1
GABRB1	GABRB1_+_47033598.23-P1P2	1
GABRB1	GABRB1_+_47033606.23-P1P2	1
GABRB1	GABRB1_+_47034051.23-P1P2	1
GABRB1	GABRB1_-_47033589.23-P1P2	1
GABRB2	GABRB2_+_160973696.23-P1P2	1
GABRB2	GABRB2_-_160973590.23-P1P2	1
GABRB3	GABRB3_+_27017780.23-P1P2	1
GABRB3	GABRB3_+_27018023.23-P1P2	1
GABRB3	GABRB3_+_27018148.23-P1P2	1
GABRB3	GABRB3_+_27018151.23-P1P2	1
GABRB3	GABRB3_+_27018161.23-P1P2	1
GABRD	GABRD_+_1951115.23-P1P2	1
GABRD	GABRD_-_1951194.23-P1P2	1
GABRD	GABRD_-_1951258.23-P1P2	1
GABRE	GABRE_+_151142699.23-P1P2	1
GABRE	GABRE_+_151142720.23-P1P2	1
GABRG1	GABRG1_+_46125869.23-P1P2	1
GABRG2	GABRG2_-_161495269.23-P1P2	1
GABRG2	GABRG2_-_161495543.23-P1P2	1
GABRG3	GABRG3_+_27216363.23-P1P2	1
GABRG3	GABRG3_+_27216537.23-P1P2	1
GABRG3	GABRG3_+_27216711.23-P1P2	1
GABRG3	GABRG3_-_27216788.23-P1P2	1
GABRP	GABRP_-_170210765.23-P1P2	1
GABRP	GABRP_-_170210772.23-P1P2	1
GABRQ	GABRQ_+_151806345.23-P1P2	1
GABRQ	GABRQ_+_151806596.23-P1P2	1
GABRQ	GABRQ_+_151806776.23-P1P2	1
GABRR1	GABRR1_+_89927012.23-P1P2	1
GABRR1	GABRR1_-_89926688.23-P1P2	1
GABRR1	GABRR1_-_89927043.23-P1P2	1
GABRR2	GABRR2_+_90024955.23-P1P2	1
GABRR2	GABRR2_+_90024973.23-P1P2	1
GABRR2	GABRR2_-_90024557.23-P1P2	1
GABRR2	GABRR2_-_90024949.23-P1P2	1
GABRR2	GABRR2_-_90024984.23-P1P2	1
GABRR3	GABRR3_-_97754160.23-P1P2	1
GAD1	GAD1_+_171673381.23-P1P2	1
GAD1	GAD1_+_171673475.23-P1P2	1
GAD1	GAD1_+_171673776.23-P1P2	1
GAD2	GAD2_+_26505385.23-P1P2	1
GAD2	GAD2_+_26506126.23-P1P2	1
GADL1	GADL1_+_30936068.23-P1P2	1
GADL1	GADL1_+_30936182.23-P1P2	1
GADL1	GADL1_-_30936158.23-P1P2	1
GADL1	GADL1_-_30936244.23-P1P2	1
GADL1	GADL1_-_30936250.23-P1P2	1
GAK	GAK_+_926062.23-P1P2	1
GAK	GAK_+_926066.23-P1P2	1
GAK	GAK_+_926096.23-P1P2	1
GAK	GAK_-_926017.23-P1P2	1
GALE	GALE_+_24127194.23-P1P2	1
GALE	GALE_-_24126807.23-P1P2	1
GALE	GALE_-_24126869.23-P1P2	1
GALE	GALE_-_24127237.23-P1P2	1
GALK1	GALK1_+_73761090.23-P1P2	1
GALK1	GALK1_+_73761141.23-P1P2	1
GALK1	GALK1_+_73761186.23-P1P2	1
GALK1	GALK1_+_73761213.23-P1P2	1
GALK1	GALK1_-_73761198.23-P1P2	1
GALK2	GALK2_+_49448017.23-P1	1
GALK2	GALK2_+_49462866.23-P2	1
GALK2	GALK2_+_49462885.23-P2	1
GALK2	GALK2_-_49448043.23-P1	1
GALK2	GALK2_-_49462496.23-P2	1
GALK2	GALK2_-_49462522.23-P2	1
GALK2	GALK2_-_49462558.23-P2	1
GALM	GALM_-_38893274.23-P1P2	1
GALM	GALM_-_38893652.23-P1P2	1
GALNT1	GALNT1_-_33234653.23-ENST00000269195.5	1
GAPDHS	GAPDHS_-_36024772.23-P1P2	1
GAPDHS	GAPDHS_-_36024834.23-P1P2	1
GAPDH	GAPDH_+_6647523.23-P2	1
